epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
124,5698.58,0.09921,0.97427,0.99963,1.40021,0.005941,0.005941,0.005941
125,5744.04,0.09891,0.97464,0.99963,1.40039,0.005908,0.005908,0.005908
126,5789.1,0.09684,0.97464,0.99963,1.40057,0.005875,0.005875,0.005875
127,5833.58,0.09399,0.97501,0.99963,1.40128,0.005842,0.005842,0.005842
128,5879.44,0.10259,0.97501,0.99963,1.40083,0.005809,0.005809,0.005809
129,5923.83,0.10023,0.97501,0.99963,1.40066,0.005776,0.005776,0.005776
130,5968.73,0.09825,0.97464,0.99963,1.40066,0.005743,0.005743,0.005743
131,6014.39,0.09274,0.97427,0.99963,1.40048,0.00571,0.00571,0.00571
132,6059.13,0.09995,0.97391,0.99963,1.40057,0.005677,0.005677,0.005677
133,6104.83,0.09448,0.97317,0.99963,1.40057,0.005644,0.005644,0.005644
134,6149.84,0.10496,0.97391,0.99963,1.40154,0.005611,0.005611,0.005611
135,6194.57,0.09801,0.97317,0.99963,1.40092,0.005578,0.005578,0.005578
136,6239.98,0.09979,0.97317,0.99963,1.39977,0.005545,0.005545,0.005545
137,6284.87,0.08854,0.97354,0.99963,1.40004,0.005512,0.005512,0.005512
138,6329.94,0.09366,0.97427,0.99963,1.39977,0.005479,0.005479,0.005479
139,6375.8,0.08642,0.97464,0.99963,1.40012,0.005446,0.005446,0.005446
140,6420.35,0.09043,0.97464,0.99963,1.40128,0.005413,0.005413,0.005413
141,6465.89,0.09686,0.97501,0.99963,1.40048,0.00538,0.00538,0.00538
142,6510.58,0.09072,0.97501,0.99963,1.40083,0.005347,0.005347,0.005347
143,6553.69,0.09463,0.97464,0.99963,1.40004,0.005314,0.005314,0.005314
144,6597.45,0.09189,0.97501,0.99963,1.40048,0.005281,0.005281,0.005281
145,6640.43,0.09323,0.97501,0.99963,1.40012,0.005248,0.005248,0.005248
146,6684.2,0.09555,0.97464,0.99963,1.40021,0.005215,0.005215,0.005215
147,6727.23,0.08852,0.97464,0.99963,1.40021,0.005182,0.005182,0.005182
148,6771.77,0.08805,0.97464,0.99963,1.40057,0.005149,0.005149,0.005149
149,6814.47,0.09678,0.97464,0.99963,1.40039,0.005116,0.005116,0.005116
150,6858.44,0.08928,0.97427,0.99963,1.40048,0.005083,0.005083,0.005083
151,6901.36,0.09086,0.97427,0.99963,1.40057,0.00505,0.00505,0.00505
152,6944.82,0.08807,0.97427,0.99963,1.40057,0.005017,0.005017,0.005017
153,6988.75,0.08145,0.97464,0.99963,1.40075,0.004984,0.004984,0.004984
154,7031.84,0.0884,0.97427,0.99963,1.40066,0.004951,0.004951,0.004951
155,7075.85,0.08471,0.97464,0.99963,1.4003,0.004918,0.004918,0.004918
156,7119.29,0.07824,0.97501,0.99963,1.40021,0.004885,0.004885,0.004885
157,7161.65,0.07942,0.97538,0.99963,1.4011,0.004852,0.004852,0.004852
158,7204.68,0.08119,0.97501,0.99963,1.40012,0.004819,0.004819,0.004819
159,7248.91,0.08507,0.97538,0.99963,1.40021,0.004786,0.004786,0.004786
160,7292.49,0.08925,0.97464,0.99963,1.40057,0.004753,0.004753,0.004753
161,7335.27,0.08194,0.97464,0.99963,1.39995,0.00472,0.00472,0.00472
162,7377.97,0.08101,0.97427,0.99963,1.40039,0.004687,0.004687,0.004687
163,7420.53,0.08472,0.97464,0.99963,1.39995,0.004654,0.004654,0.004654
164,7464.05,0.0846,0.97464,0.99963,1.39995,0.004621,0.004621,0.004621
165,7507.47,0.08778,0.97464,0.99963,1.40039,0.004588,0.004588,0.004588
166,7550.45,0.08058,0.97501,0.99963,1.39977,0.004555,0.004555,0.004555
167,7593.65,0.07927,0.97538,0.99963,1.39995,0.004522,0.004522,0.004522
168,7637.03,0.07955,0.97501,0.99963,1.39941,0.004489,0.004489,0.004489
169,7681.13,0.08154,0.97538,0.99963,1.40021,0.004456,0.004456,0.004456
170,7723.78,0.07484,0.97574,0.99963,1.40012,0.004423,0.004423,0.004423
171,7766.97,0.07846,0.97574,0.99963,1.39924,0.00439,0.00439,0.00439
172,7809.51,0.0743,0.97574,0.99963,1.39995,0.004357,0.004357,0.004357
173,7853.35,0.08477,0.97611,0.99963,1.40039,0.004324,0.004324,0.004324
174,7896.89,0.07886,0.97611,0.99963,1.39915,0.004291,0.004291,0.004291
175,7939.51,0.0827,0.97574,0.99963,1.40057,0.004258,0.004258,0.004258
176,7982.87,0.07794,0.97574,0.99963,1.3995,0.004225,0.004225,0.004225
177,8025.77,0.08079,0.97574,0.99963,1.39915,0.004192,0.004192,0.004192
178,8069.89,0.08407,0.97611,0.99963,1.39933,0.004159,0.004159,0.004159
179,8112.89,0.07843,0.97648,0.99963,1.39941,0.004126,0.004126,0.004126
180,8156.26,0.07569,0.97685,0.99963,1.39941,0.004093,0.004093,0.004093
181,8199.56,0.07169,0.97648,1,1.3995,0.00406,0.00406,0.00406
182,8242.08,0.07423,0.97611,1,1.3987,0.004027,0.004027,0.004027
183,8285.12,0.07795,0.97611,1,1.39941,0.003994,0.003994,0.003994
184,8327.87,0.08267,0.97611,1,1.39915,0.003961,0.003961,0.003961
185,8372.18,0.07287,0.97611,0.99963,1.39959,0.003928,0.003928,0.003928
186,8416.1,0.07182,0.97611,0.99963,1.40012,0.003895,0.003895,0.003895
187,8459.57,0.07077,0.97574,0.99963,1.39977,0.003862,0.003862,0.003862
188,8502.65,0.07435,0.97501,0.99963,1.3995,0.003829,0.003829,0.003829
189,8545.73,0.07256,0.97501,0.99963,1.39968,0.003796,0.003796,0.003796
190,8589.45,0.06908,0.97538,0.99963,1.39933,0.003763,0.003763,0.003763
191,8632.77,0.06868,0.97538,0.99963,1.39986,0.00373,0.00373,0.00373
192,8675.66,0.07029,0.97538,0.99963,1.40004,0.003697,0.003697,0.003697
193,8719.64,0.07033,0.97538,0.99926,1.39897,0.003664,0.003664,0.003664
194,8763.31,0.06745,0.97574,0.99926,1.39924,0.003631,0.003631,0.003631
195,8806.21,0.06899,0.97574,0.99926,1.39924,0.003598,0.003598,0.003598
196,8850.73,0.07073,0.97648,0.99926,1.39977,0.003565,0.003565,0.003565
197,8894.08,0.06833,0.97648,0.99926,1.39915,0.003532,0.003532,0.003532
198,8937.69,0.06495,0.97685,0.99926,1.39959,0.003499,0.003499,0.003499
199,8981.38,0.06271,0.97721,0.99926,1.39915,0.003466,0.003466,0.003466
200,9024.51,0.06531,0.97758,0.99926,1.39933,0.003433,0.003433,0.003433
201,9067.2,0.06855,0.97685,0.99926,1.3987,0.0034,0.0034,0.0034
202,9110.02,0.07293,0.97721,0.99926,1.39835,0.003367,0.003367,0.003367
203,9152.43,0.06159,0.97721,0.99926,1.39844,0.003334,0.003334,0.003334
204,9196.15,0.06613,0.97758,0.99926,1.39862,0.003301,0.003301,0.003301
205,9238.71,0.06543,0.97832,0.99926,1.39853,0.003268,0.003268,0.003268
206,9281.3,0.06153,0.97832,0.99926,1.39817,0.003235,0.003235,0.003235
207,9323.83,0.06629,0.97868,0.99926,1.39844,0.003202,0.003202,0.003202
208,9366.62,0.06371,0.97832,0.99926,1.39862,0.003169,0.003169,0.003169
209,9409.22,0.06411,0.97795,0.99926,1.39888,0.003136,0.003136,0.003136
210,9452.1,0.06417,0.97795,0.99926,1.39782,0.003103,0.003103,0.003103
211,9494.61,0.06311,0.97758,0.99926,1.39941,0.00307,0.00307,0.00307
212,9537.21,0.06516,0.97758,0.99963,1.39862,0.003037,0.003037,0.003037
213,9580.63,0.05903,0.97721,0.99963,1.39808,0.003004,0.003004,0.003004
214,9623.35,0.05476,0.97758,0.99963,1.39888,0.002971,0.002971,0.002971
215,9666.3,0.0633,0.97758,0.99963,1.39853,0.002938,0.002938,0.002938
216,9708.86,0.06132,0.97721,0.99963,1.39853,0.002905,0.002905,0.002905
